# Simulation data produced by HOMEO---the homeostat simulation program
# Data printed on: 2013-05-10 12:11:29.316084
# There were exactly 2 units in this simulation
Time,Environment,Environment-unisel,Agent,Agent-unisel,
640,2.03469532,0.00000000,8.26602367,1.00000000,
641,2.03252860,0.00000000,8.06671873,1.00000000,
642,2.04508081,0.00000000,8.09261419,1.00000000,
643,2.03343837,0.00000000,8.33843732,1.00000000,
644,2.05224279,0.00000000,8.46361454,1.00000000,
645,2.05147026,0.00000000,8.69956116,1.00000000,
646,2.07216652,0.00000000,9.01941806,1.00000000,
647,2.07203106,0.00000000,8.77917307,1.00000000,
648,2.09864831,0.00000000,9.29439735,1.00000000,
649,2.10226419,0.00000000,9.08466891,1.00000000,
650,2.12440199,0.00000000,9.10509934,1.00000000,
651,2.12238916,0.00000000,8.60415738,1.00000000,
652,2.12129947,0.00000000,8.69497498,1.00000000,
653,2.13348736,0.00000000,8.70423024,1.00000000,
654,2.14323434,0.00000000,8.75489189,1.00000000,
655,2.15069143,0.00000000,9.08168184,1.00000000,
656,2.16192689,0.00000000,8.86858780,1.00000000,
657,2.16045534,0.00000000,8.59223571,1.00000000,
658,2.15366590,0.00000000,9.15565963,1.00000000,
659,2.16750535,0.00000000,8.99421339,1.00000000,
660,2.19251463,0.00000000,9.26964340,1.00000000,
661,2.19008218,0.00000000,9.56542382,1.00000000,
662,2.19042722,0.00000000,9.56263363,1.00000000,
663,2.20030965,0.00000000,9.29137535,1.00000000,
664,2.20012545,0.00000000,9.51740966,1.00000000,
665,2.19034756,0.00000000,10.00000000,1.00000000,
666,2.19740125,0.00000000,9.51806574,1.00000000,
667,2.20650955,0.00000000,9.00324167,1.00000000,
668,2.21527618,0.00000000,8.18009905,1.00000000,
669,2.23427935,0.00000000,7.68872946,1.00000000,
670,2.25888511,0.00000000,7.39916742,1.00000000,
671,2.26658905,0.00000000,6.80575581,1.00000000,
672,2.26170363,0.00000000,6.16100899,1.00000000,
673,2.25647570,0.00000000,5.45887800,1.00000000,
674,2.27808993,0.00000000,5.10766417,1.00000000,
675,2.29469864,0.00000000,4.37184771,1.00000000,
676,2.32584507,0.00000000,3.65813614,1.00000000,
677,2.35433682,0.00000000,3.10725866,1.00000000,
678,2.32708308,0.00000000,2.70915967,1.00000000,
679,2.35852606,0.00000000,2.20928344,1.00000000,
680,2.36212750,0.00000000,1.60235623,1.00000000,
681,2.37943465,0.00000000,0.97004966,1.00000000,
682,2.38153143,0.00000000,0.44121196,1.00000000,
683,2.39345209,0.00000000,-0.07699016,1.00000000,
684,2.40498664,0.00000000,-0.60458629,1.00000000,
685,2.38816547,0.00000000,-1.12663013,1.00000000,
686,2.38285038,0.00000000,-1.68560702,1.00000000,
687,2.40359930,0.00000000,-2.14809354,1.00000000,
688,2.41763489,0.00000000,-2.77807308,1.00000000,
689,2.43076613,0.00000000,-3.23010447,1.00000000,
690,2.48598094,0.00000000,-3.60946442,1.00000000,
691,2.49647773,0.00000000,-4.02954363,1.00000000,
692,2.51527823,0.00000000,-4.62017237,1.00000000,
693,2.53670726,0.00000000,-5.19064378,1.00000000,
694,2.55757332,0.00000000,-5.65691760,1.00000000,
695,2.59958569,0.00000000,-6.23241938,1.00000000,
696,2.62346404,0.00000000,-6.88853799,1.00000000,
697,2.63613484,0.00000000,-7.41032488,1.00000000,
698,2.64021415,0.00000000,-8.00820659,1.00000000,
